,Requirement,Services
544,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
545,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
546,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
547,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
548,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
549,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
550,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
551,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,"Amazon RDS,Amazon Lambda,Amazon SES"
552, The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
553, The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
554, The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
555,The feature of the application shall provide the optimized route for the given addresses,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
556,This feature provides the user to select an optimized route for the addresses given and fixing any path between the desired locations. ,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
557,"Fast internet connection is not mandatory, but it would increase the performance of the application","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
558,"after every user request, new maps are needed to be loaded","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
559,"As Google Maps API is being used for this application, it is mandatory that we abide by the terms of use specified by Google","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
560,After installing the Application from iTunes or the App store the user will be asked to login.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
561,"Upon successful login, the user can select from the following catalogue options:  Spring 2013 ,Winter 2013","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
562,"Based on the selection the product categories will be listed: Outerwear,Soft Shell,Fleece,Knits,Wovens,Active Wear,	Safety,Accessories,Team Wear,	e.c.o. Collection","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
563,Once a category is selected the product thumbnail images will appear for selection.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
564,A user can then select the product and view the details.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
565,The detail page will contain all the same features and information as the website.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
566,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process.,"Amazon RDS,Amazon Lambda"
567,"Upon successful login, the user can select from the following catalogue options or use the search function indicated by the search icon in the top right hand corner of the application.","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
568,Once the icon is selected two open text field will be available to the user to search for the product name - by product ID/SKU or by keyword.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
569,Following a successful query the search feature will query the application database to display the search results. Following an unsuccessful query the search feature will display an error message that no matches were found,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
570,A user can select the desired product from the results and proceed to the product details.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
571,From the here the user can either proceed to call a rep for an order or proceed to the online checkout process,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
572,"Upon successful login, the user can select from the following catalogue options, search or           use the sub navigation to find the following items: Catalogue ,Videos,Contact Us","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
573,Should a user select to download the catalogue PDF it will be viewed on their mobile device.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
574,"Should a user select videos, the 360 video list will display. Upon selecting a video it will play on their device.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
575,All users shall be able to zoom into images using the standard gestures on mobile devices.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
576,All Users will be able to view the next product by swiping left to right .,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
577,All users should be able to go back to the product category page via the back button in the top corner.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
578,All users should be able to search by keyword or product ID.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
579,"All users should be able to navigate using the sub navigation icons to access the Catalogue PDF, 360 videos, and to contact a rep representative","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
580,The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.  ,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
581,"The only hazard is a user using the device when they should not be, such as while driving.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
582,The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
583,This information must be kept secure.  ,"Amazon S3,Amazon CloudFront,Amazon KMS,Amazon RDS,Amazon Lambda"
584,The data entry should not be that much more difficult than if they were at an actual computer.  ,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
585,"Because this application will be on a phone, portability is also important.  We don’t want it to take up so much space or be too slow causing the user’s to not be able to fit it on the device.","Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
586,"When the user fills all necessary fields, an activation mail will be sent to
users mail address","Amazon S3,Amazon CloudFront,Amazon SES,Amazon RDS,Amazon Lambda"
587,"User will be able to log in and start using the system just after activating
his/her account.","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
588,"user enters his/her username or email and his/her password and logs in the
system","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
589,"user touches log out button, and logs out of the system. The user will not use
the system until he/she logs in again.","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
590,"user is able to search items. User can search items according to their price,
their location, their category.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
591,"user is able to browse the profiles other users. User can see the other users’
user names, profile photos, and the users’ items.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
592,"user is able to browse categories according to his/her wishes. User can also see
how many items each category has.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
593,"user is able browse items. User can see the items’ pictures, prices, and other
features.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
594,"If the user changes his/her username or password, a notification mail will be sent to the
user’s email address.","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon SES,Amazon RDS,Amazon Lambda"
595,The changes will apply if the user clicks on the link in the email.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon SES,Amazon RDS,Amazon Lambda"
596,"user can buy credits from the system. He/she can use credit card or his/her
PayPal account.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
597,"user can add the items he/she likes to his cart by touching “Add to the cart”
button.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
598,"if the item the user wants is available for exchange, the user can request the
exchange of items that he/she has with the item he/she wants.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
599,"the user can approve the exchange that is offered by another user by clicking
“Approve” button.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
600,"the user can decline the exchange that is offered by another user by clicking
“Decline” button.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
601,the user notifies other user that the shipment of the item has started.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
602,the user can add as many as items he/she wants.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
603,"The user can also set the price,
set the amount, upload pictures of the item and add details of the item.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
604,"the user can edit the items that he/she has already put on the system. The user
can add/remove pictures, change the price and details of the item.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
605,"if the user no longer wishes to sell/exchange the item, he/she can remove the
item from the system by touching “Remove the item” button.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
606,"if the user no longer wishes to use the system, he/she can click “Delete Profile”
button. After deleting the profile, the user will no longer be able to use the system with the
account details that he entered before.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
607,"the user can mark an item as a favorite so that he will be notified if any change
is made to the item","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
608,the user can rate and comment about the users whom he traded with.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
609,10000 users should be able to use the system at the same time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
610,The response time of the system should be 2 seconds at most.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
611,Search form should be  added to home page,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
612,Sites should be added correctly to the search engine,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
613,Build the search engine based on the search form and sites available,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
614,"User should be able to search by site name, description","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
615,System should be self capable with feature of Auto Suggest,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
616,System should be able to return the search results in desending order in the form of list of links to the sites,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
617,"System should be able to  display "" No results found "" in case no  search results found ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
618,System should have a link back to home in case no results found,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
619,geo-location feature to be able to find a user,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
620,Use Geolocation scripts to locate user,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
621,check if user is within 1 mile of the campus,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
622,"If user within 1 mile of the campus , update location","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
623,User for permission to use the location service .,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
624,"If the user denies to user the location service , prompt the user to home screen ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
625,"If user allows location service , create the user","Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
626,"if the system unable to update the location , Show failure msg and return the user to home page.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
627,Update Page with link to sites nearby,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
628,Build Ajax Response to update home page with a link to nearby site based on user location,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
629,"Application should respond with a list of links to the 3 nearest sites by A-Z, sorted by name","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
630,"Application should  respond with the sites placed on a map with markers that includes name, description and link to site page.  ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
631,Application should do the  distance calculations and geolocation information for user/site and nearby sites.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
632,"when user clicks on links to browse sites from home page, the system should respond with a list of links to all the sites by A-Z, sorted on site name","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
633,Application should collect list of all sites sorted by name,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
634,Application should Build URL to each site’s page,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Route53"
635,"when user clicks on link to map sites from the home page, application should respond with a campus map with all the historical sites placed on it","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
636,"Each historical site should have  a marker for each site placed on map that include the name, shorten description, and link to the site page.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
637,The site’s page should contain link to walking directions on tour,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
638,"Application should respond with a list of thumbnail images for the site, listed from oldest to newest by year.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
639,"In case no image available , application should return ""no image"" flag.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
640,"when user clicks on a thumbnail image from the site’s page, the application should replace the site’s image with the medium sized clicked on image ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
641,Application should replace the site’s description with the clicked on image description,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
642,"when the user clicks on the main image on the site’s page, application should return with a an enlarged version of the image ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
643,"when User clicks on link to Walking Tour, application should respond with walking tour page","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
644,"when User clicks on link to About, application should respond with About  page","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
645,No personal data about a user is stored.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
646,User location information should be  deleted nightly via a cron job. ,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EventBridge"
647,Project admins will need to be authorized before they can use the admin interface to manage the sites in the project.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
648,Standard web security measure should be implemented.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon WAF,Amazon GuardDuty,Amazon Inspector"
649,"This application should be easily extendable, maintainable and able to be released as an open-source application","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon CodeCommit"
650,The app runs on a smart phone with operating system Android version 2.3.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
651,"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
652,Icons are according to the Android Icon Guidelines.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
653,The user interfaces should be according to the Android User Interface Guidelines.,"Amazon S3,Amazon CloudFront,Amazon Amplify,Amazon RDS,Amazon Lambda"
654,The Twitter â€tweetâ€ interface should be according to the Twitter Guidelines.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
655,The Facebook â€likeâ€ interface should be according to the Facebook Guidelines.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
656,The campus map covers the campus of the TU/e.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
657,The campus map covers the central train station of Eindhoven.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
658,A new stylistic map has the right dimensions.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
659,A new stylistic map is geographically correct.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
660,News is restricted to what is available in the feeds on the list of news RSS-feeds.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon SNS,Amazon SES,Amazon EventBridge"
661,Agenda is restricted to what is available in the feeds on the list of agenda RSS-feeds.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
662,Information about a certain person is restricted to what is available on the employee pages of the TU/e,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
663,The information and the search methods of the Encyclopedia-app are restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,"Amazon S3,Amazon CloudFront,Amazon ElasticSearch,Amazon RDS,Amazon Lambda"
664,The information and the search methods of the Studenthandbook-app are restricted depending on file format of the handbook-information.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
665,Response Time GIST: The fastness of the search SCALE: The response time of a search METER: Measurements obtained from 1000 searches during testing. MUST: No more than 2 seconds 100% of the time. WISH: No more than 1 second 100% of the time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon EC2,Amazon ElasticSearch"
666,"System Dependability GIST: The fault tolerance of the system. SCALE: If the system loses the connection to the Internet or to the GPS device or the system gets some strange input, the user should be informed. METER: Measurements obtained from 1000 hours of usage during testing. MUST: 100% of the time.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
667,Hard Drive Space GIST: Hard drive space. SCALE: The applicationâ€™s need of hard drive space. METER: MB. MUST: No more than 20 MB. PLAN: No more than 15 MB. WISH: No more than 10 MB. MB: DEFINED: Megabyte,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
668,Application Memory Usage GIST: The amount of Operate System memory occupied by the application. SCALE: MB. METER: Observations done from the performance log during testing MUST: No more than 20 MB. PLAN: No more than 16 MB WISH: No more than 10 MB Operate System: DEFINED: The mobile Operate System which the application is running on. MB: DEFINED: Megabyte.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
669,System Reliability GIST: The reliability of the system. SCALE: The reliability that the system gives the right result on a search. METER: Measurements obtained from 1000 searches during testing. MUST: More than 98% of the searches. PLAN: More than 99% of the searches. WISH: 100% of the searches.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
670,System Availability GIST: The availability of the system when it is used. SCALE: The average system availability (not considering network failing). METER: Measurements obtained from 1000 hours of usage during testing. MUST: More than 98% of the time. PLAN: More than 99% of the time. WISH: 100% of the time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
671,Internet Connection DESC: The application should be connected to the Internet.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
672,GPS Connection DESC: The application should be connected to the GPS device.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
673,"Communication Security GIST: Security of the communication between the system and server. SCALE: The messages should be encrypted for log-in communications, so others cannot get user-name and password from those messages. METER: Attempts to get user-name and password through obtained messages on 1000 log-in session during testing. MUST: 100% of the Communication Messages in the communication of a log-in session should be encrypted. Communication Messages: Defined: Every exchanged of information between client and server.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon KMS,Amazon WAF"
674,Restaurant Owner Login Account Security GIST: Security of accounts. SCALE: If a restaurant owner tries to log in to the web portal with a non-existing account then the restaurant owner should not be logged in. The restaurant owner should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.,"Amazon S3,Amazon CloudFront,Amazon Cognito,Amazon RDS,Amazon Lambda"
675,Admin Login Account Security GIST: Security of accounts. SCALE: If an admin tries to log in to the web portal with a non-existing account then the admin should not be logged in. The admin should be notified about log-in failure. METER: 1000 attempts to log-in with a non-existing user account during testing. MUST: 100% of the time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
676,"Restaurant Owner Account Security GIST: Security of restaurant owners accounts. SCALE: A restaurant owner and IP address should not be able to log-in for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
677,"Admin Account Security GIST: Security of admin accounts. SCALE: An admin and IP address should not be able to log-in to the web portal for a certain time period after three times of failed log-in attempts. METER: 1000 attempts to log-in during the lock period after user account has been locked because of failed log-in attempts of three times. MUST: The locking period should be half an hour, and during that period the log-in function is disabled.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
678,"User Create Account Security GIST: The security of creating account for users of the system. SCALE: If a user wants to create an account and the desired user name is occupied, the user should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
679,"Restaurant Owner Create Account Security GIST: The security of creating account for restaurant owners of the system. SCALE: If a restaurant owner wants to create an account and the desired user name is occupied, the restaurant owner should be asked to choose a different user name. METER: Measurements obtained on 1000 hours of usage during testing. MUST: 100% of the time.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
680,Application extendibility DESC: The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
681,Application testability DESC: Test environments should be built for the application to allow testing of the applications different functions.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
682,Application portability DESC: The application should be portable with iOS and Android.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
683,Performance Requirements 10000 users should be able to use the system at the same time. The response time of the system should be 2 seconds at most.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
684,Design Constraints We will use â€œwaterfall methodâ€ and Object â€“ Oriented Programming paradigm. We will use Java as programming language. The Android version of the device should be 2.3 or higher. The system requires Internet connection all the time.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
685,â€‹ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
686,The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
687,The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
688,The accuracy of the Generic Question Constructionâ€‹ part will be close to 80% ,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
689,Modularity  The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out. ,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
690,"The overall accuracy of the Web APIâ€™s response will be measured using a developer-made testing set. The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked. The accuracy of the Generic Question Constructionâ€‹ part will be close to 80%. The accuracy of the Generic Answer Constructionâ€‹ unit will be close to 70% The accuracy of the Generic Answer Populationâ€‹ unit will be close to 70% Drexel facilitiesâ€™ locations and schedules will have accuracy greater than 70%  â€‹ Drexel staffâ€™s office locations, contact information, and positions will have accuracy greater than 70%. â€‹ Drexel policies including academics, admissions, information technology etc. will have accuracy greater than 70%.â€‹ â€‹ On-campus dining locations, hours, food types, etc. will have accuracy greater than 50%. â€‹ Food trucksâ€™ general locations, hours, and food types on Drexel Campus will have accuracy greater than 40%. ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
691,"Fast Response The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
692,"Security The connection between the Web API and the programs will use HTTPS, for security.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Route53"
693,Ease of Useâ€‹ A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
694,The search feature should be prominent and easy to find for the user.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
695,"The different search options should be evident, simple and easy to understand.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon ElasticSearch"
696,The results displayed in the list view should be user friendly and easy to understand. Selecting an element in the result list should only take one click.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
697,The results displayed in the map view should be user friendly and easy to understand. Selecting a pin on the map should only take one click.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
698,The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
699,The user interface must be GUI based.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Amplify"
700,The users are required to input the data from cell phone keypad,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
701,User has the options to change the settings locally and remotely.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
702,Reduce the typing option by giving support for select menus.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
703,The primary performance requirement is speed of the network.  The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
704,"There are no safety requirements with this application, other than any normal hazards of a mobile device.  The only hazard is a user using the device when they should not be, such as while driving.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
705,The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.  This information must be kept secure.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
706,"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the userâ€™s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
707,"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
708,"In order to create a viable offering for the user we will have to build a simple, transparent system that can be understood and trusted by the people that are using it.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
709,"Anonimization & aggregation, so that route information may be shared safely without disclosing personal information.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
710,"Encryption, for all data that is privacy sensitive, but must be persisted on the server in order for basic functionality. ","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon KMS"
711,Permit the use of unverified (anonymous) avatars / aliases.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda,Amazon Cognito"
712,Give control to end-users over private data (at least a delete private repository option),"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
713,"The system should be language agnostic, since portability is a prime goal of the overall project. English, turkish, Finnish, and Italian should be at least be supported because these are the replication partners.","Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
714,All text elements in the user interfaces are presented in the selected language English and Dutch.,"Amazon S3,Amazon CloudFront,Amazon RDS,Amazon Lambda"
